% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:09 -0500
% Time (s), Channel A (V), Channel B (V)
-2.8571750400e+00, 3.2973669302e+00, -5.7593722175e-05
-2.8568248960e+00, 3.2973080529e+00, -1.5213225451e-04
-2.8564747520e+00, 3.2977034517e+00, -1.5419714571e-04
-2.8561246080e+00, 3.2977450286e+00, 7.8996040445e-04
-2.8557744640e+00, 3.2975915569e+00, 3.1542608308e-04
-2.8554243200e+00, 3.2971434197e+00, 3.2954547427e-04
-2.8550741760e+00, 3.2972056455e+00, 1.2227504388e-04
-2.8547240320e+00, 3.2976649443e+00, -3.7514050432e-04
-2.8543738880e+00, 3.2978583186e+00, -5.7945311758e-04
-2.8540237440e+00, 3.2978323679e+00, -4.4607230751e-04
-2.8536736000e+00, 3.2976814076e+00, 1.1105766195e-04
-2.8533234560e+00, 3.2978128352e+00, -8.5017709653e-04
-2.8529733120e+00, 3.2979582147e+00, 2.9176354606e-04
-2.8526231680e+00, 3.2976320176e+00, -6.1226814534e-04
-2.8522730240e+00, 3.2979423094e+00, -1.3032811957e-03
-2.8519228800e+00, 3.2983089671e+00, -1.1253098972e-03
-2.8515727360e+00, 3.2987375716e+00, -5.0031755746e-04
-2.8512225920e+00, 3.2985338729e+00, 5.8263416619e-05
-2.8508724480e+00, 3.2983555667e+00, 9.3919064970e-04
-2.8505223040e+00, 3.2981881431e+00, 8.3661578404e-04
-2.8501721600e+00, 3.2987506865e+00, 1.3642233901e-03
-2.8498220160e+00, 3.2980832243e+00, 5.4044341623e-04
-2.8494718720e+00, 3.2987342231e+00, -3.3607499510e-04
-2.8491217280e+00, 3.2974403176e+00, -1.2735356008e-04
-2.8487715840e+00, 3.2973571639e+00, 6.0339469395e-04
-2.8484214400e+00, 3.2977009404e+00, -9.8071170522e-04
-2.8480712960e+00, 3.2959558281e+00, -9.5660270524e-04
-2.8477211520e+00, 3.2964977226e+00, -1.2074590824e-03
-2.8473710080e+00, 3.2962594230e+00, -3.5884460619e-05
-2.8470208640e+00, 3.2974503630e+00, 7.9972678176e-05
-2.8466707200e+00, 3.2962951400e+00, -8.9482339279e-04
-2.8463205760e+00, 3.2961037190e+00, -2.7876031227e-04
-2.8459704320e+00, 3.2966609606e+00, 3.6386731452e-04
-2.8456202880e+00, 3.2981764234e+00, 9.9890507095e-04
-2.8452701440e+00, 3.2974802202e+00, 6.5551924484e-04
-2.8449200000e+00, 3.2980399732e+00, 6.6087680039e-04
-2.8445698560e+00, 3.2985388956e+00, 1.5977793274e-04
-2.8442197120e+00, 3.2984074680e+00, 3.8674854135e-04
