% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 MOhm impedance, 10,000 x probe attenuation
% Time span 5.000 s, time offset 0.000 s, Precision acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-01-29 T 09:37:08 -0500
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-2.500028160000e+00, 3.298436e+00, 6.167567e+00
-2.495126144000e+00, 3.298191e+00, 8.020747e+00
-2.490224128000e+00, 3.298321e+00, 1.072619e+01
-2.485322112000e+00, 3.297476e+00, 5.987547e+00
-2.480420096000e+00, 3.298028e+00, 9.561204e+00
-2.475518080000e+00, 3.298180e+00, 4.096935e+00
-2.470616064000e+00, 3.297185e+00, -2.310406e+00
-2.465714048000e+00, 3.298061e+00, 1.795339e+00
-2.460812032000e+00, 3.297832e+00, 2.960647e+00
-2.455910016000e+00, 3.298207e+00, 5.346115e+00
-2.451008000000e+00, 3.298519e+00, 1.086699e+00
-2.446105984000e+00, 3.298298e+00, -5.350779e-01
-2.441203968000e+00, 3.298236e+00, 2.382996e-01
-2.436301952000e+00, 3.298022e+00, 6.208586e+00
-2.431399936000e+00, 3.297117e+00, 5.883027e+00
-2.426497920000e+00, 3.297889e+00, -2.437807e+00
-2.421595904000e+00, 3.297470e+00, -3.130622e+00
-2.416693888000e+00, 7.593839e-01, -1.665929e+01
-2.411791872000e+00, 1.499326e-02, -3.209634e+01
-2.406889856000e+00, 1.509577e-02, -3.199912e+01
-2.401987840000e+00, 1.437113e-02, -3.053276e+01
-2.397085824000e+00, 1.462495e-02, -2.456483e+01
-2.392183808000e+00, 1.597646e-02, -1.899819e+01
-2.387281792000e+00, 1.532466e-02, -2.503441e+01
-2.382379776000e+00, 1.526118e-02, -1.756023e+01
-2.377477760000e+00, 1.496068e-02, -1.684712e+01
-2.372575744000e+00, 1.497798e-02, -2.457225e+01
-2.367673728000e+00, 1.466681e-02, -2.304730e+01
-2.362771712000e+00, 1.502354e-02, -1.965836e+01
-2.357869696000e+00, 1.563360e-02, -2.208919e+01
-2.352967680000e+00, 1.598916e-02, -1.680805e+01
-2.348065664000e+00, 1.614297e-02, -1.558622e+01
-2.343163648000e+00, 1.614659e-02, -1.902622e+01
-2.338261632000e+00, 1.634674e-02, -1.454449e+01
-2.333359616000e+00, 1.632643e-02, -9.783279e+00
-2.328457600000e+00, 1.599719e-02, -1.096198e+01
-2.323555584000e+00, 1.610099e-02, -2.238159e+01
-2.318653568000e+00, 1.241030e+00, -4.875535e+00
-2.313751552000e+00, 3.298106e+00, 1.297094e+01
-2.308849536000e+00, 3.297695e+00, 8.178006e+00
-2.303947520000e+00, 3.297959e+00, 5.231071e+00
-2.299045504000e+00, 3.298052e+00, 6.178250e+00
-2.294143488000e+00, 3.298453e+00, 8.440143e-01
-2.289241472000e+00, 3.298588e+00, 7.280017e+00
-2.284339456000e+00, 3.298820e+00, 1.392410e+01
-2.279437440000e+00, 3.298885e+00, 2.096622e+00
-2.274535424000e+00, 3.297620e+00, 9.396849e-01
-2.269633408000e+00, 3.297671e+00, 4.574611e+00
-2.264731392000e+00, 3.298398e+00, 7.428745e+00
-2.259829376000e+00, 3.299098e+00, 7.644403e+00
-2.254927360000e+00, 3.298863e+00, 5.200656e+00
-2.250025344000e+00, 3.298162e+00, 3.852577e+00
-2.245123328000e+00, 3.298176e+00, 9.992399e-01
-2.240221312000e+00, 3.298235e+00, -6.813344e-01
-2.235319296000e+00, 3.297375e+00, 7.589472e-01
-2.230417280000e+00, 3.296160e+00, -3.064729e+00
-2.225515264000e+00, 3.296606e+00, -2.377216e+00
-2.220613248000e+00, 3.297126e+00, -1.193655e+01
-2.215711232000e+00, 1.072095e-01, -2.973268e+01
-2.210809216000e+00, 1.343218e-02, -2.752588e+01
-2.205907200000e+00, 1.404614e-02, -3.382256e+01
-2.201005184000e+00, 1.505960e-02, -1.692900e+01
-2.196103168000e+00, 1.445207e-02, -2.707722e+01
-2.191201152000e+00, 1.434057e-02, -1.784341e+01
-2.186299136000e+00, 1.420558e-02, -1.984771e+01
-2.181397120000e+00, 1.480380e-02, -2.120611e+01
-2.176495104000e+00, 1.432913e-02, -2.022298e+01
-2.171593088000e+00, 1.505102e-02, -2.410230e+01
-2.166691072000e+00, 1.498856e-02, -1.909048e+01
-2.161789056000e+00, 1.484826e-02, -1.922597e+01
-2.156887040000e+00, 1.462290e-02, -1.696312e+01
-2.151985024000e+00, 1.457845e-02, -8.438628e+00
-2.147083008000e+00, 1.452282e-02, -1.610001e+01
-2.142180992000e+00, 1.610719e-02, -1.948619e+01
-2.137278976000e+00, 1.551387e-02, -1.242610e+01
-2.132376960000e+00, 1.504130e-02, -1.577091e+01
-2.127474944000e+00, 1.473023e-02, -1.860937e+01
-2.122572928000e+00, 1.434826e-02, -1.977456e+01
-2.117670912000e+00, 1.891443e+00, -2.834801e+00
-2.112768896000e+00, 3.296628e+00, 1.341964e+01
-2.107866880000e+00, 3.296480e+00, 3.587888e+00
