pix,Val
0,1.308
1,1.308
2,1.308
3,1.308
4,1.308
5,1.308
6,1.308
7,1.308
8,0.846
9,0.846
10,0.846
11,0.846
12,0.846
13,0.846
14,0.846
15,0.846
16,0.846
17,0.846
18,0.846
19,0.846
20,0.846
21,0.846
22,0.846
23,0.846
24,0.846
25,0.846
26,0.846
27,0.846
28,0.846
29,0.846
30,0.846
31,0.846
32,0.949
33,0.962
34,0.949
35,0.949
36,1.026
37,1.026
38,1.077
39,1.077
40,2.192
41,2.192
42,2.295
43,2.295
44,2.397
45,2.397
46,2.423
47,2.269
48,2.936
49,3.038
50,3.295
51,3.308
52,3.538
53,3.564
54,3.859
55,3.949
56,4.641
57,4.667
58,4.782
59,4.782
60,4.936
61,4.949
62,5.026
63,4.872
64,4.949
65,4.859
66,4.923
67,4.859
68,4.923
69,4.859
70,4.923
71,4.859
72,4.923
73,4.859
74,4.692
75,4.628
76,4.487
77,4.41
78,4.372
79,4.192
80,3.141
81,2.936
82,2.859
83,2.756
84,2.692
85,2.5
86,2.359
87,2.295
88,1.731
89,1.667
90,1.615
91,1.615
92,1.526
93,1.513
94,1.449
95,1.423
96,1.154
97,1.154
98,1.154
99,1.154
100,1.154
101,1.154
102,1.154
103,1.154
104,1.154
105,1.154
106,1.154
107,1.154
108,1.154
109,1.154
110,1.154
111,1.154
112,1.103
113,1.128
114,1.231
115,1.667
116,1.718
117,2.295
118,2.423
119,2.692
120,3.59
121,3.731
122,4.013
123,4.436
124,4.705
125,5.09
126,5.244
127,5.282
128,5.949
129,6.077
130,6.462
131,6.692
132,7.115
133,7.295
134,7.641
135,7.756
136,8.551
137,8.603
138,8.769
139,8.744
140,8.821
141,8.808
142,8.923
143,8.846
144,9.179
145,9.115
146,9.115
147,9.115
148,9.115
149,9.103
150,9.09
151,9.051
152,8.09
153,8.051
154,7.974
155,7.782
156,7.718
157,7.577
158,7.526
159,7.256
160,6.872
161,6.538
162,6.526
163,6.244
164,6.205
165,5.923
166,5.795
167,5.641
168,3.846
169,3.603
170,3.154
171,3.013
172,2.731
173,2.641
174,2.449
175,2.308
176,1.154
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1.154
188,1.154
189,1.385
190,1.385
191,1.526
192,2.641
193,3.038
194,3.179
195,3.487
196,3.974
197,4.372
198,4.846
199,5.244
200,6.474
201,6.91
202,7.244
203,7.859
204,8.205
205,8.744
206,8.987
207,9.538
208,12.474
209,12.962
210,13.551
211,14.231
212,14.577
213,14.872
214,14.91
215,15.179
216,16.769
217,17.244
218,17.923
219,18.551
220,18.872
221,19.026
222,19.077
223,18.859
224,17.705
225,17.654
226,18.256
227,18.692
228,19.192
229,19.41
230,19.513
231,19.346
232,18.859
233,18.487
234,17.974
235,17.397
236,16.923
237,16.641
238,16.692
239,16.564
240,15.359
241,15.051
242,14.59
243,13.782
244,13.141
245,12.282
246,11.821
247,11.218
248,9.179
249,8.256
250,7.346
251,6.077
252,5.192
253,4.41
254,3.692
255,3.474
256,2.359
257,1.987
258,2
259,1.692
260,1.718
261,1.692
262,1.718
263,1.692
264,1.782
265,1.744
266,1.782
267,1.897
268,1.923
269,2.423
270,2.436
271,2.782
272,3.538
273,4.205
274,5.423
275,6.923
276,8.513
277,10.038
278,11.321
279,12.115
280,14.179
281,15.103
282,16.321
283,17.564
284,18.731
285,20.59
286,22.705
287,24.385
288,26.064
289,26.974
290,27.538
291,27.115
292,27.769
293,28.91
294,29.962
295,29.641
296,31.936
297,33.026
298,34.115
299,33.987
300,34.641
301,36.141
302,37.692
303,38.244
304,39.885
305,40.218
306,39.936
307,38.026
308,37.192
309,37.013
310,36.859
311,35.897
312,37.013
313,37.436
314,37.628
315,36.128
316,36.051
317,36
318,35.833
319,34.705
320,34.128
321,32.513
322,30.987
323,29.487
324,28.808
325,27.615
326,26.474
327,25.551
328,23.077
329,21.231
330,18.731
331,16.923
332,16.923
333,17.897
334,18.09
335,17.064
336,13.179
337,12.564
338,11.949
339,11.269
340,10.282
341,9.654
342,9.154
343,9.038
344,9.449
345,9.744
346,10.282
347,10.795
348,11.641
349,12.359
350,13.231
351,13.628
352,16.513
353,17.551
354,18.654
355,19.615
356,20.038
357,21.474
358,23.756
359,25.744
360,30.744
361,32.59
362,35.692
363,38.333
364,39.385
365,39.949
366,41.359
367,43.179
368,44.59
369,43.179
370,44.962
371,48.782
372,52.744
373,55.526
374,55.628
375,53
376,54.09
377,54.641
378,52.718
379,51.436
380,53.705
381,55.333
382,56.397
383,58.474
384,59.59
385,61.179
386,62.692
387,61.897
388,58.897
389,56.436
390,58.167
391,61.192
392,61.179
393,58.333
394,55.859
395,55.628
396,56.692
397,54.603
398,54.103
399,56.205
400,55.667
401,52.91
402,50.41
403,48.91
404,47.051
405,44.397
406,42.526
407,42
408,45.064
409,43.372
410,40.423
411,37.218
412,35.218
413,35.346
414,37.359
415,39.256
416,39.064
417,38.09
418,37.269
419,37.372
420,38.987
421,40.833
422,42.577
423,43.513
424,44.782
425,47.231
426,51.577
427,54.705
428,55.205
429,54.641
430,55.782
431,57.846
432,60.808
433,62.962
434,65.667
435,67.5
436,70.731
437,74.462
438,77.679
439,78.5
440,74.756
441,74.705
442,75.654
443,78.269
444,82.115
445,84.526
446,84.064
447,81.833
448,81.731
449,79.282
450,81.026
451,83.59
452,85.5
453,87.718
454,89.372
455,87.846
456,88.077
457,88.167
458,86.333
459,84.397
460,84.833
461,85.167
462,85.628
463,85.5
464,88.859
465,84.795
466,82.167
467,83.115
468,86.244
469,87.654
470,87.103
471,85.551
472,86.218
473,87.641
474,86.09
475,83.846
476,84
477,81.897
478,80.103
479,81.603
480,81.872
481,83.628
482,84.051
483,82.718
484,83.167
485,85.346
486,85.692
487,84.179
488,80.821
489,79.064
490,81.167
491,85.846
492,87.859
493,86.551
494,87.59
495,90.782
496,91.474
497,91.487
498,94.628
499,90.769
500,93.949
501,103.244
502,101.936
503,99.333
504,102.974
505,100.923
506,102.064
507,105.577
508,109.064
509,109.769
510,109.449
511,108.513
512,114.474
513,115.462
514,116.462
515,116.051
516,115.167
517,115.5
518,117.936
519,120.154
520,122.872
521,122.321
522,125.795
523,124.397
524,122.282
525,124.551
526,124.692
527,124.423
528,127.231
529,129.128
530,132.987
531,130.577
532,132.526
533,136
534,136.282
535,142.615
536,144.282
537,146.897
538,151.359
539,150
540,147.551
541,149.013
542,148.679
543,146.782
544,155.244
545,163.385
546,163.09
547,160.372
548,163
549,161.795
550,161.449
551,167.936
552,165.692
553,167.077
554,163.833
555,164.551
556,170.756
557,168.949
558,163.923
559,165.705
560,164.09
561,165.218
562,160.051
563,162.769
564,168.833
565,171.269
566,171.179
567,163.987
568,160.423
569,157.731
570,166.269
571,169.897
572,169.923
573,167.423
574,159.526
575,159.59
576,163.051
577,162.41
578,160.436
579,158.333
580,158.846
581,158.795
582,155.282
583,150.423
584,148.872
585,149.359
586,147.397
587,144.167
588,142.846
589,142.641
590,142.423
591,141.167
592,137.295
593,137.115
594,137.538
595,134.474
596,126.808
597,123.205
598,125.179
599,125.705
600,122.628
601,123.91
602,120.256
603,116.397
604,119.179
605,119.231
606,115.936
607,113.667
608,117.231
609,114.551
610,110.064
611,108.615
612,109.654
613,107.308
614,104.974
615,105.449
616,102.679
617,100.038
618,97.244
619,95.962
620,94.474
621,93.167
622,93.167
623,93.679
624,89.474
625,86.115
626,87.577
627,88.538
628,84.679
629,79.769
630,78.462
631,78.41
632,82.769
633,83.218
634,78.462
635,72.667
636,71.91
637,71.987
638,70.551
639,70.103
640,73.128
641,76.756
642,80.064
643,79.577
644,77.949
645,76.923
646,77.949
647,79.385
648,81.038
649,79.795
650,78.026
651,76.308
652,77.115
653,79.679
654,82.603
655,83.808
656,83.59
657,82.538
658,81.038
659,80.551
660,82.821
661,86
662,87.795
663,87.679
664,83.513
665,83.051
666,83.808
667,79.154
668,78.487
669,81.385
670,79.397
671,78.321
672,79.538
673,77.718
674,76.321
675,76.346
676,77.538
677,77.385
678,75.59
679,73.577
680,73.769
681,73.897
682,73.987
683,70.744
684,65.756
685,63.705
686,64.474
687,64.295
688,61.449
689,57.564
690,53.885
691,53.269
692,55.474
693,55.538
694,51.654
695,46.872
696,41.577
697,41.41
698,40.41
699,38.308
700,36.821
701,35.308
702,32.846
703,30.333
704,28.756
705,29.692
706,30.513
707,30.205
708,29.128
709,28.462
710,28.859
711,29.654
712,30.397
713,30.667
714,34.09
715,38.923
716,39.782
717,38.256
718,39.603
719,43.333
720,45.372
721,45.731
722,47.462
723,49.551
724,51.641
725,51.833
726,52.051
727,51.821
728,52.833
729,54.295
730,54.577
731,54.756
732,58.218
733,59.487
734,56.859
735,53.59
736,55.769
737,58.154
738,59.564
739,58.321
740,56.577
741,55.731
742,54.59
743,52.936
744,53
745,51.244
746,51.218
747,53.295
748,53.577
749,50.718
750,48.115
751,46.949
752,46.449
753,45.603
754,45.141
755,43.923
756,42.295
757,39.564
758,36.526
759,34.244
760,32.885
761,32.603
762,32.949
763,32.679
764,31.308
765,27.5
766,22.603
767,19.013
768,15.282
769,15.462
770,15.667
771,15.308
772,14.526
773,13.244
774,12.462
775,11.846
776,9.308
777,8.949
778,8.5
779,8.308
780,8.5
781,8.859
782,9.474
783,9.526
784,9.923
785,9.474
786,9.551
787,9.705
788,10.359
789,11.513
790,12.731
791,13.744
792,16.218
793,16.859
794,18.167
795,19.551
796,21.103
797,22.5
798,23.449
799,24.115
800,26
801,26.769
802,27.936
803,28.769
804,29.141
805,29.551
806,30.128
807,30.526
808,30.526
809,30.833
810,31.026
811,30.59
812,30.038
813,30.141
814,30.859
815,31.615
816,33.154
817,32.628
818,31.923
819,30.872
820,29.5
821,28.09
822,27.077
823,26.397
824,26.282
825,26.333
826,26.654
827,26.09
828,24.846
829,23.244
830,22.09
831,21.679
832,21.308
833,20.833
834,20.179
835,18.962
836,18.038
837,16.846
838,16.179
839,15.487
840,13.231
841,12.551
842,11.859
843,10.833
844,9.949
845,9.154
846,8.731
847,8.282
848,6.885
849,6.872
850,6.846
851,6.885
852,6.962
853,6.962
854,7.026
855,7.077
856,7.282
857,7.346
858,7.436
859,7.385
860,7.474
861,7.526
862,7.667
863,7.615
864,8.359
865,8.385
866,8.833
867,9.154
868,10.013
869,10.346
870,10.885
871,11.231
872,12.513
873,12.936
874,14.013
875,14.846
876,15.487
877,16.308
878,17.064
879,17.154
880,16.91
881,16.705
882,17.128
883,17.141
884,17.59
885,17.654
886,18.013
887,18
888,18.526
889,18.41
890,18.192
891,17.962
892,17.833
893,17.603
894,17.564
895,17.372
896,17.487
897,17.154
898,16.821
899,16.282
900,15.923
901,15.256
902,14.923
903,14.577
904,13.256
905,12.808
906,12.167
907,11.321
908,10.744
909,10.128
910,9.692
911,9.474
912,7.974
913,7.718
914,7.154
915,6.564
916,5.705
917,4.897
918,4.41
919,3.936
920,2.295
921,2.051
922,1.936
923,1.885
924,1.859
925,1.885
926,1.897
927,1.885
928,1.846
929,1.795
930,1.795
931,1.795
932,1.846
933,1.846
934,1.923
935,1.923
936,2.667
937,2.692
938,2.91
939,2.987
940,3.244
941,3.359
942,3.487
943,3.462
944,4.269
945,4.449
946,4.679
947,4.897
948,5.167
949,5.474
950,5.654
951,5.897
952,7.269
953,7.308
954,7.551
955,7.641
956,7.897
957,7.987
958,8.038
959,8.077
960,8.436
961,8.397
962,8.474
963,8.397
964,8.474
965,8.397
966,8.474
967,8.397
968,8.526
969,8.41
970,8.449
971,8.295
972,8.269
973,8.115
974,8.154
