% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 6.600 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 1.200 000 000 kHz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 10:00:44 -0400
% Time (s), Channel A (V)
-4.4390400000e-03, 4.6409381786e-02
-4.4384960000e-03, 4.6409381786e-02
-4.4379520000e-03, 4.6409381786e-02
-4.4374080000e-03, 4.6409381786e-02
-4.4368640000e-03, 4.6409381786e-02
-4.4363200000e-03, 4.6409381786e-02
-4.4357760000e-03, 4.6409381786e-02
-4.4352320000e-03, 4.3966782745e-02
-4.4346880000e-03, 4.6409381786e-02
-4.4341440000e-03, 4.6409381786e-02
-4.4336000000e-03, 4.6409381786e-02
-4.4330560000e-03, 4.6409381786e-02
-4.4325120000e-03, 4.6409381786e-02
-4.4319680000e-03, 4.6409381786e-02
-4.4314240000e-03, 4.6409381786e-02
-4.4308800000e-03, 4.3966782745e-02
-4.4303360000e-03, 4.6409381786e-02
-4.4297920000e-03, 4.6409381786e-02
-4.4292480000e-03, 4.6409381786e-02
-4.4287040000e-03, 4.6409381786e-02
-4.4281600000e-03, 4.6409381786e-02
-4.4276160000e-03, 4.6409381786e-02
-4.4270720000e-03, 4.3966782745e-02
-4.4265280000e-03, 4.6409381786e-02
-4.4259840000e-03, 4.6409381786e-02
-4.4254400000e-03, 4.6409381786e-02
-4.4248960000e-03, 4.6409381786e-02
-4.4243520000e-03, 4.6409381786e-02
-4.4238080000e-03, 4.6409381786e-02
-4.4232640000e-03, 4.6409381786e-02
-4.4227200000e-03, 4.6409381786e-02
-4.4221760000e-03, 4.3966782745e-02
-4.4216320000e-03, 4.6409381786e-02
-4.4210880000e-03, 4.3966782745e-02
-4.4205440000e-03, 4.3966782745e-02
-4.4200000000e-03, 4.6409381786e-02
-4.4194560000e-03, 4.6409381786e-02
-4.4189120000e-03, 4.6409381786e-02
-4.4183680000e-03, 4.3966782745e-02
-4.4178240000e-03, 4.6409381786e-02
-4.4172800000e-03, 4.3966782745e-02
-4.4167360000e-03, 4.6409381786e-02
-4.4161920000e-03, 4.6409381786e-02
-4.4156480000e-03, 4.3966782745e-02
-4.4151040000e-03, 4.6409381786e-02
-4.4145600000e-03, 4.6409381786e-02
-4.4140160000e-03, 4.6409381786e-02
-4.4134720000e-03, 4.3966782745e-02
-4.4129280000e-03, 4.3966782745e-02
-4.4123840000e-03, 4.6409381786e-02
-4.4118400000e-03, 4.6409381786e-02
-4.4112960000e-03, 4.6409381786e-02
-4.4107520000e-03, 4.3966782745e-02
-4.4102080000e-03, 4.3966782745e-02
-4.4096640000e-03, 4.6409381786e-02
-4.4091200000e-03, 4.6409381786e-02
-4.4085760000e-03, 4.3966782745e-02
-4.4080320000e-03, 4.6409381786e-02
-4.4074880000e-03, 4.6409381786e-02
-4.4069440000e-03, 4.3966782745e-02
-4.4064000000e-03, 4.3966782745e-02
-4.4058560000e-03, 4.3966782745e-02
-4.4053120000e-03, 4.3966782745e-02
-4.4047680000e-03, 4.3966782745e-02
-4.4042240000e-03, 4.3966782745e-02
-4.4036800000e-03, 4.3966782745e-02
-4.4031360000e-03, 4.3966782745e-02
-4.4025920000e-03, 4.3966782745e-02
-4.4020480000e-03, 4.3966782745e-02
