% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 6.600 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 1.200 000 000 kHz, 5.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 10:01:20 -0400
% Time (s), Channel A (Input 1) (V)
-3.300448000000e-03, 1.551050e-01
-3.293920000000e-03, 1.551050e-01
-3.287392000000e-03, 1.551050e-01
-3.280864000000e-03, 1.551050e-01
-3.274336000000e-03, 1.551050e-01
-3.267808000000e-03, 1.538837e-01
-3.261280000000e-03, 1.526624e-01
-3.254752000000e-03, 1.526624e-01
-3.248224000000e-03, 1.526624e-01
-3.241696000000e-03, 1.526624e-01
-3.235168000000e-03, 1.526624e-01
-3.228640000000e-03, 1.526624e-01
-3.222112000000e-03, 1.514411e-01
-3.215584000000e-03, 1.502198e-01
-3.209056000000e-03, 1.502198e-01
-3.202528000000e-03, 1.502198e-01
-3.196000000000e-03, 1.502198e-01
-3.189472000000e-03, 1.502198e-01
-3.182944000000e-03, 1.502198e-01
-3.176416000000e-03, 1.502198e-01
-3.169888000000e-03, 1.502198e-01
-3.163360000000e-03, 1.502198e-01
-3.156832000000e-03, 1.489985e-01
-3.150304000000e-03, 1.477772e-01
-3.143776000000e-03, 1.502198e-01
-3.137248000000e-03, 1.502198e-01
-3.130720000000e-03, 1.477772e-01
-3.124192000000e-03, 1.477772e-01
-3.117664000000e-03, 1.477772e-01
-3.111136000000e-03, 1.477772e-01
-3.104608000000e-03, 1.477772e-01
-3.098080000000e-03, 1.477772e-01
-3.091552000000e-03, 1.489985e-01
-3.085024000000e-03, 1.477772e-01
-3.078496000000e-03, 1.477772e-01
-3.071968000000e-03, 1.465559e-01
-3.065440000000e-03, 1.477772e-01
-3.058912000000e-03, 1.477772e-01
-3.052384000000e-03, 1.477772e-01
-3.045856000000e-03, 1.477772e-01
-3.039328000000e-03, 1.477772e-01
-3.032800000000e-03, 1.477772e-01
-3.026272000000e-03, 1.477772e-01
-3.019744000000e-03, 1.477772e-01
-3.013216000000e-03, 1.465559e-01
-3.006688000000e-03, 1.465559e-01
-3.000160000000e-03, 1.477772e-01
-2.993632000000e-03, 1.477772e-01
-2.987104000000e-03, 1.477772e-01
-2.980576000000e-03, 1.477772e-01
-2.974048000000e-03, 1.453346e-01
-2.967520000000e-03, 1.477772e-01
-2.960992000000e-03, 1.477772e-01
-2.954464000000e-03, 1.477772e-01
-2.947936000000e-03, 1.477772e-01
-2.941408000000e-03, 1.477772e-01
-2.934880000000e-03, 1.477772e-01
-2.928352000000e-03, 1.477772e-01
-2.921824000000e-03, 1.465559e-01
-2.915296000000e-03, 1.477772e-01
-2.908768000000e-03, 1.477772e-01
-2.902240000000e-03, 1.477772e-01
-2.895712000000e-03, 1.477772e-01
-2.889184000000e-03, 1.477772e-01
-2.882656000000e-03, 1.489985e-01
-2.876128000000e-03, 1.489985e-01
-2.869600000000e-03, 1.489985e-01
-2.863072000000e-03, 1.489985e-01
-2.856544000000e-03, 1.502198e-01
-2.850016000000e-03, 1.477772e-01
-2.843488000000e-03, 1.489985e-01
-2.836960000000e-03, 1.502198e-01
-2.830432000000e-03, 1.502198e-01
-2.823904000000e-03, 1.502198e-01
-2.817376000000e-03, 1.502198e-01
-2.810848000000e-03, 1.489985e-01
-2.804320000000e-03, 1.502198e-01
-2.797792000000e-03, 1.502198e-01
-2.791264000000e-03, 1.502198e-01
-2.784736000000e-03, 1.502198e-01
-2.778208000000e-03, 1.489985e-01
