% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 400.0 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 25.000 000 Hz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:49:48 -0400
% Time (s), Channel A (Input 1) (V)
-2.000062240000e-01, 9.171959e-01
-1.996140000000e-01, 7.291158e-01
-1.992217760000e-01, 5.593552e-01
-1.988295520000e-01, 4.042501e-01
-1.984373280000e-01, 2.662433e-01
-1.980451040000e-01, 1.551050e-01
-1.976528800000e-01, 7.449927e-02
-1.972606560000e-01, 2.686859e-02
-1.968684320000e-01, 1.587689e-02
-1.964762080000e-01, 4.152418e-02
-1.960839840000e-01, 9.770396e-02
-1.956917600000e-01, 1.746458e-01
-1.952995360000e-01, 2.613581e-01
-1.949073120000e-01, 3.444065e-01
-1.945150880000e-01, 4.164631e-01
-1.941228640000e-01, 4.738642e-01
-1.937306400000e-01, 5.276014e-01
-1.933384160000e-01, 5.825599e-01
-1.929461920000e-01, 6.436248e-01
-1.925539680000e-01, 7.022472e-01
-1.921617440000e-01, 7.437714e-01
-1.917695200000e-01, 7.608696e-01
-1.913772960000e-01, 7.535418e-01
-1.909850720000e-01, 7.303371e-01
-1.905928480000e-01, 6.875916e-01
-1.902006240000e-01, 6.326332e-01
-1.898084000000e-01, 5.788960e-01
-1.894161760000e-01, 5.214949e-01
-1.890239520000e-01, 4.665364e-01
-1.886317280000e-01, 4.091353e-01
-1.882395040000e-01, 3.456278e-01
-1.878472800000e-01, 2.735711e-01
-1.874550560000e-01, 1.966292e-01
-1.870628320000e-01, 1.270152e-01
-1.866706080000e-01, 6.472887e-02
-1.862783840000e-01, 2.808989e-02
-1.858861600000e-01, 1.343429e-02
-1.854939360000e-01, 2.198339e-02
-1.851017120000e-01, 5.617978e-02
-1.847094880000e-01, 1.196874e-01
-1.843172640000e-01, 2.259404e-01
-1.839250400000e-01, 3.761603e-01
-1.835328160000e-01, 5.654617e-01
-1.831405920000e-01, 7.840743e-01
-1.827483680000e-01, 1.005130e+00
-1.823561440000e-01, 1.215193e+00
-1.819639200000e-01, 1.404494e+00
-1.815716960000e-01, 1.552272e+00
-1.811794720000e-01, 1.656082e+00
-1.807872480000e-01, 1.706155e+00
-1.803950240000e-01, 1.701270e+00
-1.800028000000e-01, 1.645090e+00
-1.796105760000e-01, 1.548608e+00
-1.792183520000e-01, 1.419150e+00
-1.788261280000e-01, 1.264045e+00
-1.784339040000e-01, 1.085735e+00
-1.780416800000e-01, 8.988764e-01
-1.776494560000e-01, 7.144602e-01
-1.772572320000e-01, 5.434783e-01
-1.768650080000e-01, 3.969223e-01
-1.764727840000e-01, 2.747924e-01
-1.760805600000e-01, 1.819736e-01
-1.756883360000e-01, 1.148022e-01
-1.752961120000e-01, 6.839277e-02
-1.749038880000e-01, 3.663899e-02
-1.745116640000e-01, 1.709819e-02
-1.741194400000e-01, 9.770396e-03
-1.737272160000e-01, 1.465559e-02
-1.733349920000e-01, 2.564729e-02
-1.729427680000e-01, 3.908158e-02
-1.725505440000e-01, 4.885198e-02
-1.721583200000e-01, 5.617978e-02
-1.717660960000e-01, 5.862238e-02
-1.713738720000e-01, 6.106498e-02
-1.709816480000e-01, 5.984368e-02
-1.705894240000e-01, 5.617978e-02
-1.701972000000e-01, 4.885198e-02
-1.698049760000e-01, 3.541769e-02
-1.694127520000e-01, 2.076209e-02
-1.690205280000e-01, 1.099170e-02
-1.686283040000e-01, 1.343429e-02
-1.682360800000e-01, 3.663899e-02
-1.678438560000e-01, 7.205667e-02
-1.674516320000e-01, 1.160235e-01
-1.670594080000e-01, 1.722032e-01
-1.666671840000e-01, 2.393747e-01
-1.662749600000e-01, 3.187592e-01
-1.658827360000e-01, 4.140205e-01
-1.654905120000e-01, 5.337079e-01
-1.650982880000e-01, 6.863703e-01
-1.647060640000e-01, 8.659014e-01
-1.643138400000e-01, 1.058867e+00
-1.639216160000e-01, 1.253053e+00
-1.635293920000e-01, 1.432584e+00
-1.631371680000e-01, 1.576698e+00
-1.627449440000e-01, 1.670738e+00
-1.623527200000e-01, 1.714705e+00
-1.619604960000e-01, 1.690279e+00
-1.615682720000e-01, 1.617001e+00
-1.611760480000e-01, 1.500977e+00
-1.607838240000e-01, 1.350757e+00
-1.603916000000e-01, 1.160235e+00
-1.599993760000e-01, 9.391793e-01
-1.596071520000e-01, 7.120176e-01
-1.592149280000e-01, 5.007328e-01
-1.588227040000e-01, 3.236444e-01
-1.584304800000e-01, 1.880801e-01
-1.580382560000e-01, 9.770396e-02
-1.576460320000e-01, 4.396678e-02
-1.572538080000e-01, 1.709819e-02
-1.568615840000e-01, 1.099170e-02
-1.564693600000e-01, 2.442599e-02
-1.560771360000e-01, 6.350758e-02
-1.556849120000e-01, 1.257939e-01
-1.552926880000e-01, 2.112848e-01
-1.549004640000e-01, 3.175379e-01
-1.545082400000e-01, 4.311187e-01
-1.541160160000e-01, 5.337079e-01
-1.537237920000e-01, 6.179776e-01
-1.533315680000e-01, 6.680508e-01
-1.529393440000e-01, 6.961407e-01
-1.525471200000e-01, 7.095750e-01
-1.521548960000e-01, 7.156815e-01
-1.517626720000e-01, 7.205667e-01
-1.513704480000e-01, 7.230093e-01
-1.509782240000e-01, 7.230093e-01
-1.505860000000e-01, 7.144602e-01
-1.501937760000e-01, 6.900342e-01
-1.498015520000e-01, 6.448461e-01
-1.494093280000e-01, 5.801173e-01
-1.490171040000e-01, 5.019541e-01
-1.486248800000e-01, 4.152418e-01
-1.482326560000e-01, 3.260870e-01
-1.478404320000e-01, 2.381534e-01
-1.474482080000e-01, 1.587689e-01
-1.470559840000e-01, 1.001466e-01
-1.466637600000e-01, 5.984368e-02
-1.462715360000e-01, 3.053249e-02
-1.458793120000e-01, 1.343429e-02
-1.454870880000e-01, 1.343429e-02
-1.450948640000e-01, 3.663899e-02
-1.447026400000e-01, 9.892526e-02
-1.443104160000e-01, 2.076209e-01
-1.439181920000e-01, 3.688325e-01
-1.435259680000e-01, 5.642404e-01
-1.431337440000e-01, 7.779678e-01
-1.427415200000e-01, 9.965804e-01
-1.423492960000e-01, 1.212750e+00
-1.419570720000e-01, 1.403273e+00
-1.415648480000e-01, 1.553493e+00
-1.411726240000e-01, 1.656082e+00
-1.407804000000e-01, 1.704934e+00
-1.403881760000e-01, 1.703713e+00
-1.399959520000e-01, 1.645090e+00
-1.396037280000e-01, 1.541280e+00
-1.392115040000e-01, 1.403273e+00
-1.388192800000e-01, 1.240840e+00
-1.384270560000e-01, 1.069858e+00
-1.380348320000e-01, 9.062042e-01
-1.376426080000e-01, 7.401075e-01
-1.372503840000e-01, 5.837812e-01
-1.368581600000e-01, 4.408891e-01
-1.364659360000e-01, 3.163166e-01
-1.360737120000e-01, 2.125061e-01
-1.356814880000e-01, 1.282364e-01
-1.352892640000e-01, 7.083537e-02
-1.348970400000e-01, 3.297509e-02
-1.345048160000e-01, 1.343429e-02
-1.341125920000e-01, 9.770396e-03
-1.337203680000e-01, 1.709819e-02
-1.333281440000e-01, 2.808989e-02
-1.329359200000e-01, 4.152418e-02
-1.325436960000e-01, 5.129458e-02
-1.321514720000e-01, 5.617978e-02
-1.317592480000e-01, 5.740108e-02
-1.313670240000e-01, 5.617978e-02
-1.309748000000e-01, 4.885198e-02
-1.305825760000e-01, 4.274548e-02
-1.301903520000e-01, 3.175379e-02
-1.297981280000e-01, 2.442599e-02
-1.294059040000e-01, 1.587689e-02
-1.290136800000e-01, 9.770396e-03
-1.286214560000e-01, 1.343429e-02
-1.282292320000e-01, 2.931119e-02
-1.278370080000e-01, 6.228628e-02
-1.274447840000e-01, 1.160235e-01
-1.270525600000e-01, 1.819736e-01
-1.266603360000e-01, 2.552516e-01
-1.262681120000e-01, 3.419639e-01
-1.258758880000e-01, 4.469956e-01
-1.254836640000e-01, 5.691256e-01
-1.250914400000e-01, 7.034685e-01
-1.246992160000e-01, 8.524671e-01
-1.243069920000e-01, 1.022228e+00
-1.239147680000e-01, 1.212750e+00
-1.235225440000e-01, 1.406937e+00
-1.231303200000e-01, 1.574255e+00
-1.227380960000e-01, 1.675623e+00
-1.223458720000e-01, 1.711041e+00
-1.219536480000e-01, 1.669516e+00
-1.215614240000e-01, 1.580362e+00
-1.211692000000e-01, 1.450904e+00
-1.207769760000e-01, 1.293356e+00
-1.203847520000e-01, 1.119932e+00
-1.199925280000e-01, 9.355154e-01
-1.196003040000e-01, 7.425501e-01
-1.192080800000e-01, 5.385931e-01
-1.188158560000e-01, 3.541769e-01
-1.184236320000e-01, 2.002931e-01
-1.180314080000e-01, 9.404006e-02
-1.176391840000e-01, 3.663899e-02
-1.172469600000e-01, 1.465559e-02
-1.168547360000e-01, 1.587689e-02
-1.164625120000e-01, 3.419639e-02
-1.160702880000e-01, 6.839277e-02
-1.156780640000e-01, 1.270152e-01
-1.152858400000e-01, 2.088422e-01
-1.148936160000e-01, 3.102101e-01
-1.145013920000e-01, 4.237909e-01
-1.141091680000e-01, 5.373718e-01
-1.137169440000e-01, 6.387396e-01
-1.133247200000e-01, 7.181241e-01
-1.129324960000e-01, 7.755252e-01
-1.125402720000e-01, 8.072790e-01
-1.121480480000e-01, 8.194920e-01
-1.117558240000e-01, 8.085003e-01
-1.113636000000e-01, 7.755252e-01
-1.109713760000e-01, 7.315584e-01
-1.105791520000e-01, 6.839277e-01
-1.101869280000e-01, 6.375183e-01
-1.097947040000e-01, 5.923303e-01
-1.094024800000e-01, 5.361505e-01
-1.090102560000e-01, 4.750855e-01
-1.086180320000e-01, 4.091353e-01
-1.082258080000e-01, 3.480704e-01
-1.078335840000e-01, 2.833415e-01
-1.074413600000e-01, 2.137274e-01
-1.070491360000e-01, 1.441133e-01
-1.066569120000e-01, 8.549097e-02
-1.062646880000e-01, 4.030288e-02
-1.058724640000e-01, 1.587689e-02
-1.054802400000e-01, 1.587689e-02
-1.050880160000e-01, 3.908158e-02
-1.046957920000e-01, 9.648266e-02
-1.043035680000e-01, 1.978505e-01
-1.039113440000e-01, 3.541769e-01
-1.035191200000e-01, 5.617978e-01
-1.031268960000e-01, 8.011725e-01
-1.027346720000e-01, 1.035662e+00
-1.023424480000e-01, 1.250611e+00
-1.019502240000e-01, 1.424035e+00
-1.015580000000e-01, 1.559599e+00
-1.011657760000e-01, 1.652418e+00
-1.007735520000e-01, 1.704934e+00
-1.003813280000e-01, 1.708598e+00
-9.998910400000e-02, 1.660967e+00
-9.959688000000e-02, 1.564485e+00
-9.920465600000e-02, 1.433806e+00
-9.881243200000e-02, 1.278701e+00
-9.842020800000e-02, 1.108940e+00
-9.802798400000e-02, 9.379580e-01
-9.763576000000e-02, 7.681974e-01
-9.724353600000e-02, 6.094285e-01
-9.685131200000e-02, 4.592086e-01
-9.645908800000e-02, 3.273083e-01
-9.606686400000e-02, 2.149487e-01
-9.567464000000e-02, 1.306790e-01
-9.528241600000e-02, 7.327797e-02
-9.489019200000e-02, 3.663899e-02
-9.449796800000e-02, 1.709819e-02
-9.410574400000e-02, 8.549097e-03
-9.371352000000e-02, 1.587689e-02
-9.332129600000e-02, 3.419639e-02
-9.292907200000e-02, 5.129458e-02
-9.253684800000e-02, 5.984368e-02
-9.214462400000e-02, 5.740108e-02
-9.175240000000e-02, 4.763068e-02
-9.136017600000e-02, 3.663899e-02
-9.096795200000e-02, 2.076209e-02
-9.057572800000e-02, 1.343429e-02
-9.018350400000e-02, 8.549097e-03
-8.979128000000e-02, 8.549097e-03
-8.939905600000e-02, 8.549097e-03
-8.900683200000e-02, 7.327797e-03
-8.861460800000e-02, 9.770396e-03
-8.822238400000e-02, 1.587689e-02
-8.783016000000e-02, 4.274548e-02
-8.743793600000e-02, 8.793357e-02
-8.704571200000e-02, 1.526624e-01
-8.665348800000e-02, 2.369321e-01
-8.626126400000e-02, 3.383000e-01
-8.586904000000e-02, 4.604299e-01
-8.547681600000e-02, 5.972155e-01
-8.508459200000e-02, 7.572057e-01
-8.469236800000e-02, 9.440645e-01
-8.430014400000e-02, 1.148022e+00
-8.390792000000e-02, 1.340987e+00
-8.351569600000e-02, 1.494871e+00
-8.312347200000e-02, 1.608451e+00
-8.273124800000e-02, 1.679287e+00
-8.233902400000e-02, 1.712262e+00
-8.194680000000e-02, 1.697606e+00
-8.155457600000e-02, 1.629214e+00
-8.116235200000e-02, 1.513190e+00
-8.077012800000e-02, 1.355642e+00
-8.037790400000e-02, 1.163898e+00
-7.998568000000e-02, 9.440645e-01
-7.959345600000e-02, 7.217880e-01
-7.920123200000e-02, 5.129458e-01
-7.880900800000e-02, 3.456278e-01
-7.841678400000e-02, 2.076209e-01
-7.802456000000e-02, 1.038105e-01
-7.763233600000e-02, 4.152418e-02
-7.724011200000e-02, 1.587689e-02
-7.684788800000e-02, 2.198339e-02
-7.645566400000e-02, 3.908158e-02
-7.606344000000e-02, 7.083537e-02
-7.567121600000e-02, 1.172448e-01
-7.527899200000e-02, 1.880801e-01
-7.488676800000e-02, 2.833415e-01
-7.449454400000e-02, 3.957010e-01
-7.410232000000e-02, 5.129458e-01
-7.371009600000e-02, 6.253054e-01
-7.331787200000e-02, 7.132389e-01
-7.292564800000e-02, 7.608696e-01
-7.253342400000e-02, 7.645335e-01
-7.214120000000e-02, 7.425501e-01
-7.174897600000e-02, 7.120176e-01
-7.135675200000e-02, 6.949194e-01
-7.096452800000e-02, 6.765999e-01
-7.057230400000e-02, 6.582804e-01
-7.018008000000e-02, 6.216415e-01
-6.978785600000e-02, 5.801173e-01
-6.939563200000e-02, 5.312653e-01
-6.900340800000e-02, 4.787494e-01
-6.861118400000e-02, 4.262335e-01
