% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Input 2), DC coupling, 1 x probe attenuation
% Time span 33.00 ms, time offset 0.000 s, Normal acquisition mode, no averaging
% Edge trigger: Channel A, level 0.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (on) - Sine, 300.000 000 Hz, 10.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Ramp, 50.000 000 000 kHz, 500.0 mVpp, offset 0.000 0 V, phase 0.000 000 deg, symmetry 90.00 %
% Acquired 2025-03-26 T 09:53:26 -0400
% Time (s), Channel A (V)
-2.2064640000e-02, 1.0698583801e+00
-2.2061936000e-02, 1.0576453849e+00
-2.2059232000e-02, 1.0454323897e+00
-2.2056528000e-02, 1.0405471916e+00
-2.2053824000e-02, 1.0307767955e+00
-2.2051120000e-02, 1.0210063993e+00
-2.2048416000e-02, 1.0087934041e+00
-2.2045712000e-02, 1.0014656070e+00
-2.2043008000e-02, 9.8681001272e-01
-2.2040304000e-02, 9.7703961655e-01
-2.2037600000e-02, 9.6482662135e-01
-2.2034896000e-02, 9.5261362614e-01
-2.2032192000e-02, 9.4040063093e-01
-2.2029488000e-02, 9.3063023477e-01
-2.2026784000e-02, 9.2085983860e-01
-2.2024080000e-02, 9.0864684340e-01
-2.2021376000e-02, 8.9887644723e-01
-2.2018672000e-02, 8.8422085298e-01
-2.2015968000e-02, 8.6956525873e-01
-2.2013264000e-02, 8.6223746161e-01
-2.2010560000e-02, 8.4513926832e-01
-2.2007856000e-02, 8.3536887215e-01
-2.2005152000e-02, 8.2559847599e-01
-2.2002448000e-02, 8.1582807982e-01
-2.1999744000e-02, 8.0361508462e-01
-2.1997040000e-02, 7.9628728749e-01
-2.1994336000e-02, 7.8163169324e-01
-2.1991632000e-02, 7.7186129708e-01
-2.1988928000e-02, 7.6209090091e-01
-2.1986224000e-02, 7.4987790571e-01
-2.1983520000e-02, 7.4010750954e-01
-2.1980816000e-02, 7.3033711337e-01
-2.1978112000e-02, 7.2056671721e-01
-2.1975408000e-02, 7.0835372200e-01
-2.1972704000e-02, 6.9858332584e-01
-2.1970000000e-02, 6.8881292967e-01
-2.1967296000e-02, 6.8148513255e-01
-2.1964592000e-02, 6.6927213734e-01
-2.1961888000e-02, 6.6438693926e-01
-2.1959184000e-02, 6.5705914213e-01
-2.1956480000e-02, 6.4484614693e-01
-2.1953776000e-02, 6.3751834980e-01
-2.1951072000e-02, 6.3263315172e-01
-2.1948368000e-02, 6.2530535460e-01
-2.1945664000e-02, 6.1797755747e-01
-2.1942960000e-02, 6.0820716131e-01
-2.1940256000e-02, 6.0332196322e-01
-2.1937552000e-02, 5.9843676514e-01
-2.1934848000e-02, 5.9355156706e-01
-2.1932144000e-02, 5.8622376993e-01
-2.1929440000e-02, 5.8133857185e-01
-2.1926736000e-02, 5.7889597281e-01
-2.1924032000e-02, 5.7156817568e-01
-2.1921328000e-02, 5.7156817568e-01
-2.1918624000e-02, 5.6424037856e-01
-2.1915920000e-02, 5.6424037856e-01
-2.1913216000e-02, 5.6179777952e-01
-2.1910512000e-02, 5.5691258144e-01
-2.1907808000e-02, 5.5691258144e-01
-2.1905104000e-02, 5.5446998239e-01
-2.1902400000e-02, 5.5202738335e-01
-2.1899696000e-02, 5.5446998239e-01
-2.1896992000e-02, 5.5202738335e-01
-2.1894288000e-02, 5.5446998239e-01
-2.1891584000e-02, 5.5446998239e-01
-2.1888880000e-02, 5.5691258144e-01
-2.1886176000e-02, 5.5446998239e-01
-2.1883472000e-02, 5.5691258144e-01
-2.1880768000e-02, 5.5935518048e-01
-2.1878064000e-02, 5.6424037856e-01
-2.1875360000e-02, 5.6912557664e-01
-2.1872656000e-02, 5.6912557664e-01
-2.1869952000e-02, 5.7401077473e-01
-2.1867248000e-02, 5.7889597281e-01
-2.1864544000e-02, 5.8133857185e-01
-2.1861840000e-02, 5.8866636897e-01
-2.1859136000e-02, 5.9110896802e-01
-2.1856432000e-02, 5.9843676514e-01
-2.1853728000e-02, 6.0087936418e-01
-2.1851024000e-02, 6.1064976035e-01
-2.1848320000e-02, 6.1797755747e-01
-2.1845616000e-02, 6.2530535460e-01
-2.1842912000e-02, 6.3019055268e-01
-2.1840208000e-02, 6.3996094884e-01
-2.1837504000e-02, 6.4240354788e-01
-2.1834800000e-02, 6.4973134501e-01
-2.1832096000e-02, 6.6438693926e-01
-2.1829392000e-02, 6.6927213734e-01
-2.1826688000e-02, 6.8148513255e-01
-2.1823984000e-02, 6.8881292967e-01
-2.1821280000e-02, 6.9858332584e-01
-2.1818576000e-02, 7.0835372200e-01
